seq,chapter,sentence,slen,note,noun,verb,adj,adv,con,pron,punct,dt,other,text,pos
781,10,87,33,,11,2,4,5,6,3,6,2,0,"M. Krempe was not equally docile; and in my condition at that time, of almost insupportable sensitiveness, his harsh blunt encomiums gave me even more pain than the benevolent approbation of M. Waldman.","[('M', 'NNP'), ('.', '.'), ('Krempe', 'NNP'), ('was', 'VBD'), ('not', 'RB'), ('equally', 'RB'), ('docile', 'JJ'), (';', ':'), ('and', 'CC'), ('in', 'IN'), ('my', 'PRP$'), ('condition', 'NN'), ('at', 'IN'), ('that', 'DT'), ('time', 'NN'), (',', ','), ('of', 'IN'), ('almost', 'RB'), ('insupportable', 'JJ'), ('sensitiveness', 'NN'), (',', ','), ('his', 'PRP$'), ('harsh', 'JJ'), ('blunt', 'NN'), ('encomiums', 'NNS'), ('gave', 'VBD'), ('me', 'PRP'), ('even', 'RB'), ('more', 'RBR'), ('pain', 'JJ'), ('than', 'IN'), ('the', 'DT'), ('benevolent', 'NN'), ('approbation', 'NN'), ('of', 'IN'), ('M', 'NNP'), ('.', '.'), ('Waldman', 'NNP'), ('.', '.')]"
782,10,88,4,,4,0,1,0,0,0,1,1,0,"""D--n the fellow!""","[('""', 'NN'), ('D', 'NNP'), ('--', ':'), ('n', 'NN'), ('the', 'DT'), ('fellow', 'JJ'), ('!""', 'NN')]"
783,10,89,13,,2,4,0,1,0,5,6,1,0,"cried he; ""why, M. Clerval, I assure you he has outstript us all.","[('cried', 'VBD'), ('he', 'PRP'), (';', ':'), ('""', ':'), ('why', 'WRB'), (',', ','), ('M', 'NNP'), ('.', '.'), ('Clerval', 'NNP'), (',', ','), ('I', 'PRP'), ('assure', 'VBP'), ('you', 'PRP'), ('he', 'PRP'), ('has', 'VBZ'), ('outstript', 'VBN'), ('us', 'PRP'), ('all', 'DT'), ('.', '.')]"
784,10,90,10,,1,3,1,1,2,2,3,0,0,"Ay, stare if you please; but it is nevertheless true.","[('Ay', 'NNP'), (',', ','), ('stare', 'VBP'), ('if', 'IN'), ('you', 'PRP'), ('please', 'VBP'), (';', ':'), ('but', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('nevertheless', 'RB'), ('true', 'JJ'), ('.', '.')]"
785,10,91,64,,17,9,4,5,13,6,14,8,2,"A youngster who, but a few years ago, believed in Cornelius Agrippa as firmly as in the gospel, has now set himself at the head of the university; and if he is not soon pulled down, we shall all be out of countenance.--Ay, ay,"" continued he, observing my face expressive of suffering, ""M. Frankenstein is modest; an excellent quality in a young man.","[('A', 'DT'), ('youngster', 'NN'), ('who', 'WP'), (',', ','), ('but', 'CC'), ('a', 'DT'), ('few', 'JJ'), ('years', 'NNS'), ('ago', 'RB'), (',', ','), ('believed', 'VBD'), ('in', 'IN'), ('Cornelius', 'NNP'), ('Agrippa', 'NNP'), ('as', 'IN'), ('firmly', 'RB'), ('as', 'IN'), ('in', 'IN'), ('the', 'DT'), ('gospel', 'NN'), (',', ','), ('has', 'VBZ'), ('now', 'RB'), ('set', 'VBN'), ('himself', 'PRP'), ('at', 'IN'), ('the', 'DT'), ('head', 'NN'), ('of', 'IN'), ('the', 'DT'), ('university', 'NN'), (';', ':'), ('and', 'CC'), ('if', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('soon', 'RB'), ('pulled', 'VBN'), ('down', 'IN'), (',', ','), ('we', 'PRP'), ('shall', 'MD'), ('all', 'DT'), ('be', 'VB'), ('out', 'RP'), ('of', 'IN'), ('countenance', 'NN'), ('.--', ':'), ('Ay', 'NNP'), (',', ','), ('ay', 'NN'), (',""', ':'), ('continued', 'VBD'), ('he', 'PRP'), (',', ','), ('observing', 'VBG'), ('my', 'PRP$'), ('face', 'NN'), ('expressive', 'JJ'), ('of', 'IN'), ('suffering', 'NN'), (',', ','), ('""', ':'), ('M', 'NNP'), ('.', '.'), ('Frankenstein', 'NNP'), ('is', 'VBZ'), ('modest', 'JJ'), (';', ':'), ('an', 'DT'), ('excellent', 'NN'), ('quality', 'NN'), ('in', 'IN'), ('a', 'DT'), ('young', 'JJ'), ('man', 'NN'), ('.', '.')]"
786,10,92,25,,6,4,2,2,5,4,6,1,1,"Young men should be diffident of themselves, you know, M. Clerval:  I was myself when young; but that wears out in a very short time.""","[('Young', 'NNP'), ('men', 'NNS'), ('should', 'MD'), ('be', 'VB'), ('diffident', 'VBN'), ('of', 'IN'), ('themselves', 'PRP'), (',', ','), ('you', 'PRP'), ('know', 'VBP'), (',', ','), ('M', 'NNP'), ('.', '.'), ('Clerval', 'NNP'), (':', ':'), ('I', 'PRP'), ('was', 'VBD'), ('myself', 'PRP'), ('when', 'WRB'), ('young', 'JJ'), (';', ':'), ('but', 'CC'), ('that', 'IN'), ('wears', 'NNS'), ('out', 'IN'), ('in', 'IN'), ('a', 'DT'), ('very', 'RB'), ('short', 'JJ'), ('time', 'NN'), ('.""', ':')]"
787,10,93,23,,5,5,0,3,3,2,3,3,2,"M. Krempe had now commenced an eulogy on himself, which happily turned the conversation from a subject that was so annoying to me.","[('M', 'NNP'), ('.', '.'), ('Krempe', 'NNP'), ('had', 'VBD'), ('now', 'RB'), ('commenced', 'VBN'), ('an', 'DT'), ('eulogy', 'NN'), ('on', 'IN'), ('himself', 'PRP'), (',', ','), ('which', 'WDT'), ('happily', 'RB'), ('turned', 'VBD'), ('the', 'DT'), ('conversation', 'NN'), ('from', 'IN'), ('a', 'DT'), ('subject', 'NN'), ('that', 'WDT'), ('was', 'VBD'), ('so', 'RB'), ('annoying', 'VBG'), ('to', 'TO'), ('me', 'PRP'), ('.', '.')]"
788,10,94,22,,4,5,2,2,4,3,2,1,1,Clerval had never sympathized in my tastes for natural science; and his literary pursuits differed wholly from those which had occupied me.,"[('Clerval', 'NNP'), ('had', 'VBD'), ('never', 'RB'), ('sympathized', 'VBN'), ('in', 'IN'), ('my', 'PRP$'), ('tastes', 'NNS'), ('for', 'IN'), ('natural', 'JJ'), ('science', 'NN'), (';', ':'), ('and', 'CC'), ('his', 'PRP$'), ('literary', 'JJ'), ('pursuits', 'NNS'), ('differed', 'VBN'), ('wholly', 'RB'), ('from', 'IN'), ('those', 'DT'), ('which', 'WDT'), ('had', 'VBD'), ('occupied', 'VBN'), ('me', 'PRP'), ('.', '.')]"
789,10,95,35,,7,5,2,1,8,5,2,5,2,"He came to the university with the design of making himself complete master of the oriental languages, and thus he should open a field for the plan of life he had marked out for himself.","[('He', 'PRP'), ('came', 'VBD'), ('to', 'TO'), ('the', 'DT'), ('university', 'NN'), ('with', 'IN'), ('the', 'DT'), ('design', 'NN'), ('of', 'IN'), ('making', 'VBG'), ('himself', 'PRP'), ('complete', 'JJ'), ('master', 'NN'), ('of', 'IN'), ('the', 'DT'), ('oriental', 'JJ'), ('languages', 'NNS'), (',', ','), ('and', 'CC'), ('thus', 'RB'), ('he', 'PRP'), ('should', 'MD'), ('open', 'VB'), ('a', 'DT'), ('field', 'NN'), ('for', 'IN'), ('the', 'DT'), ('plan', 'NN'), ('of', 'IN'), ('life', 'NN'), ('he', 'PRP'), ('had', 'VBD'), ('marked', 'VBN'), ('out', 'RP'), ('for', 'IN'), ('himself', 'PRP'), ('.', '.')]"
790,10,96,21,,8,2,1,0,5,3,3,2,0,"Resolved to pursue no inglorious career, he turned his eyes toward the East, as affording scope for his spirit of enterprise.","[('Resolved', 'NNP'), ('to', 'TO'), ('pursue', 'VB'), ('no', 'DT'), ('inglorious', 'JJ'), ('career', 'NN'), (',', ','), ('he', 'PRP'), ('turned', 'VBD'), ('his', 'PRP$'), ('eyes', 'NNS'), ('toward', 'IN'), ('the', 'DT'), ('East', 'NNP'), (',', ','), ('as', 'IN'), ('affording', 'NN'), ('scope', 'NN'), ('for', 'IN'), ('his', 'PRP$'), ('spirit', 'NN'), ('of', 'IN'), ('enterprise', 'NN'), ('.', '.')]"
791,10,97,20,,6,4,1,1,4,2,4,2,0,"The Persian, Arabic, and Sanskrit languages engaged his attention, and I was easily induced to enter on the same studies.","[('The', 'DT'), ('Persian', 'NNP'), (',', ','), ('Arabic', 'NNP'), (',', ','), ('and', 'CC'), ('Sanskrit', 'NNP'), ('languages', 'NNS'), ('engaged', 'VBD'), ('his', 'PRP$'), ('attention', 'NN'), (',', ','), ('and', 'CC'), ('I', 'PRP'), ('was', 'VBD'), ('easily', 'RB'), ('induced', 'VBN'), ('to', 'TO'), ('enter', 'VB'), ('on', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('studies', 'NNS'), ('.', '.')]"
792,10,98,46,,10,8,3,5,12,5,6,3,0,"Idleness had ever been irksome to me, and now that I wished to fly from reflection, and hated my former studies, I felt great relief in being the fellow-pupil with my friend, and found not only instruction but consolation in the works of the orientalists.","[('Idleness', 'NN'), ('had', 'VBD'), ('ever', 'RB'), ('been', 'VBN'), ('irksome', 'VBN'), ('to', 'TO'), ('me', 'PRP'), (',', ','), ('and', 'CC'), ('now', 'RB'), ('that', 'IN'), ('I', 'PRP'), ('wished', 'VBD'), ('to', 'TO'), ('fly', 'RB'), ('from', 'IN'), ('reflection', 'NN'), (',', ','), ('and', 'CC'), ('hated', 'VBD'), ('my', 'PRP$'), ('former', 'JJ'), ('studies', 'NNS'), (',', ','), ('I', 'PRP'), ('felt', 'VBD'), ('great', 'JJ'), ('relief', 'NN'), ('in', 'IN'), ('being', 'VBG'), ('the', 'DT'), ('fellow', 'JJ'), ('-', ':'), ('pupil', 'NN'), ('with', 'IN'), ('my', 'PRP$'), ('friend', 'NN'), (',', ','), ('and', 'CC'), ('found', 'VBN'), ('not', 'RB'), ('only', 'RB'), ('instruction', 'NN'), ('but', 'CC'), ('consolation', 'NN'), ('in', 'IN'), ('the', 'DT'), ('works', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('orientalists', 'NNS'), ('.', '.')]"
793,10,99,26,,5,4,3,2,5,5,4,2,0,"I did not, like him, attempt a critical knowledge of their dialects, for I did not contemplate making any other use of them than temporary amusement.","[('I', 'PRP'), ('did', 'VBD'), ('not', 'RB'), (',', ','), ('like', 'IN'), ('him', 'PRP'), (',', ','), ('attempt', 'NN'), ('a', 'DT'), ('critical', 'JJ'), ('knowledge', 'NN'), ('of', 'IN'), ('their', 'PRP$'), ('dialects', 'NNS'), (',', ','), ('for', 'IN'), ('I', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('contemplate', 'VB'), ('making', 'VBG'), ('any', 'DT'), ('other', 'JJ'), ('use', 'NN'), ('of', 'IN'), ('them', 'PRP'), ('than', 'IN'), ('temporary', 'JJ'), ('amusement', 'NN'), ('.', '.')]"
794,10,100,13,,2,3,0,2,2,4,2,0,0,"I read merely to understand their meaning, and they well repaid my labours.","[('I', 'PRP'), ('read', 'VBP'), ('merely', 'RB'), ('to', 'TO'), ('understand', 'VB'), ('their', 'PRP$'), ('meaning', 'NN'), (',', ','), ('and', 'CC'), ('they', 'PRP'), ('well', 'RB'), ('repaid', 'VBD'), ('my', 'PRP$'), ('labours', 'NNS'), ('.', '.')]"
795,10,101,22,,5,4,1,2,4,3,3,3,0,"Their melancholy is soothing, and their joy elevating, to a degree I never experienced in studying the authors of any other country.","[('Their', 'PRP$'), ('melancholy', 'RB'), ('is', 'VBZ'), ('soothing', 'VBG'), (',', ','), ('and', 'CC'), ('their', 'PRP$'), ('joy', 'NN'), ('elevating', 'VBG'), (',', ','), ('to', 'TO'), ('a', 'DT'), ('degree', 'NN'), ('I', 'PRP'), ('never', 'RB'), ('experienced', 'VBD'), ('in', 'IN'), ('studying', 'NN'), ('the', 'DT'), ('authors', 'NNS'), ('of', 'IN'), ('any', 'DT'), ('other', 'JJ'), ('country', 'NN'), ('.', '.')]"
796,10,102,35,,12,3,2,1,9,3,4,5,0,"When you read their writings, life appears to consist in a warm sun and a garden of roses,--in the smiles and frowns of a fair enemy, and the fire that consumes your own heart.","[('When', 'WRB'), ('you', 'PRP'), ('read', 'VBP'), ('their', 'PRP$'), ('writings', 'NNS'), (',', ','), ('life', 'NN'), ('appears', 'VBZ'), ('to', 'TO'), ('consist', 'VB'), ('in', 'IN'), ('a', 'DT'), ('warm', 'NN'), ('sun', 'NN'), ('and', 'CC'), ('a', 'DT'), ('garden', 'NN'), ('of', 'IN'), ('roses', 'NNS'), (',--', ':'), ('in', 'IN'), ('the', 'DT'), ('smiles', 'NNS'), ('and', 'CC'), ('frowns', 'NNS'), ('of', 'IN'), ('a', 'DT'), ('fair', 'JJ'), ('enemy', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('fire', 'NN'), ('that', 'IN'), ('consumes', 'NNS'), ('your', 'PRP$'), ('own', 'JJ'), ('heart', 'NN'), ('.', '.')]"
797,10,103,12,,3,0,2,2,4,0,1,1,0,How different from the manly and heroical poetry of Greece and Rome!,"[('How', 'WRB'), ('different', 'JJ'), ('from', 'IN'), ('the', 'DT'), ('manly', 'RB'), ('and', 'CC'), ('heroical', 'JJ'), ('poetry', 'NN'), ('of', 'IN'), ('Greece', 'NNP'), ('and', 'CC'), ('Rome', 'NNP'), ('!', '.')]"
798,10,104,43,,14,10,2,1,10,2,6,4,0,"Summer passed away in these occupations, and my return to Geneva was fixed for the latter end of autumn; but being delayed by several accidents, winter and snow arrived, the roads were deemed impassable, and my journey was retarded until the ensuing spring.","[('Summer', 'NNP'), ('passed', 'VBD'), ('away', 'RB'), ('in', 'IN'), ('these', 'DT'), ('occupations', 'NNS'), (',', ','), ('and', 'CC'), ('my', 'PRP$'), ('return', 'NN'), ('to', 'TO'), ('Geneva', 'NNP'), ('was', 'VBD'), ('fixed', 'VBN'), ('for', 'IN'), ('the', 'DT'), ('latter', 'NN'), ('end', 'NN'), ('of', 'IN'), ('autumn', 'NN'), (';', ':'), ('but', 'CC'), ('being', 'VBG'), ('delayed', 'VBN'), ('by', 'IN'), ('several', 'JJ'), ('accidents', 'NNS'), (',', ','), ('winter', 'NN'), ('and', 'CC'), ('snow', 'NN'), ('arrived', 'VBD'), (',', ','), ('the', 'DT'), ('roads', 'NNS'), ('were', 'VBD'), ('deemed', 'VBN'), ('impassable', 'JJ'), (',', ','), ('and', 'CC'), ('my', 'PRP$'), ('journey', 'NN'), ('was', 'VBD'), ('retarded', 'VBN'), ('until', 'IN'), ('the', 'DT'), ('ensuing', 'NN'), ('spring', 'NN'), ('.', '.')]"
799,10,105,18,,3,4,1,2,3,4,2,1,0,I felt this delay very bitterly; for I longed to see my native town and my beloved friends.,"[('I', 'PRP'), ('felt', 'VBD'), ('this', 'DT'), ('delay', 'NN'), ('very', 'RB'), ('bitterly', 'RB'), (';', ':'), ('for', 'IN'), ('I', 'PRP'), ('longed', 'VBD'), ('to', 'TO'), ('see', 'VB'), ('my', 'PRP$'), ('native', 'JJ'), ('town', 'NN'), ('and', 'CC'), ('my', 'PRP$'), ('beloved', 'VBN'), ('friends', 'NNS'), ('.', '.')]"
800,10,106,28,,6,7,0,3,6,3,3,3,0,"My return had only been delayed so long, from an unwillingness to leave Clerval in a strange place, before he had become acquainted with any of its inhabitants.","[('My', 'PRP$'), ('return', 'NN'), ('had', 'VBD'), ('only', 'RB'), ('been', 'VBN'), ('delayed', 'VBN'), ('so', 'RB'), ('long', 'RB'), (',', ','), ('from', 'IN'), ('an', 'DT'), ('unwillingness', 'NN'), ('to', 'TO'), ('leave', 'VB'), ('Clerval', 'NNP'), ('in', 'IN'), ('a', 'DT'), ('strange', 'NN'), ('place', 'NN'), (',', ','), ('before', 'IN'), ('he', 'PRP'), ('had', 'VBD'), ('become', 'VBN'), ('acquainted', 'VBN'), ('with', 'IN'), ('any', 'DT'), ('of', 'IN'), ('its', 'PRP$'), ('inhabitants', 'NNS'), ('.', '.')]"
801,10,107,22,,4,5,1,4,3,3,5,2,0,"The winter, however, was spent cheerfully; and although the spring was uncommonly late, when it came its beauty compensated for its dilatoriness.","[('The', 'DT'), ('winter', 'NN'), (',', ','), ('however', 'RB'), (',', ','), ('was', 'VBD'), ('spent', 'VBN'), ('cheerfully', 'RB'), (';', ':'), ('and', 'CC'), ('although', 'IN'), ('the', 'DT'), ('spring', 'NN'), ('was', 'VBD'), ('uncommonly', 'RB'), ('late', 'JJ'), (',', ','), ('when', 'WRB'), ('it', 'PRP'), ('came', 'VBD'), ('its', 'PRP$'), ('beauty', 'NN'), ('compensated', 'VBD'), ('for', 'IN'), ('its', 'PRP$'), ('dilatoriness', 'NN'), ('.', '.')]"
802,10,108,48,,11,9,2,5,8,4,4,7,2,"The month of May had already commenced, and I expected the letter daily which was to fix the date of my departure, when Henry proposed a pedestrian tour in the environs of Ingolstadt, that I might bid a personal farewell to the country I had so long inhabited.","[('The', 'DT'), ('month', 'NN'), ('of', 'IN'), ('May', 'NNP'), ('had', 'VBD'), ('already', 'RB'), ('commenced', 'VBN'), (',', ','), ('and', 'CC'), ('I', 'PRP'), ('expected', 'VBD'), ('the', 'DT'), ('letter', 'NN'), ('daily', 'RB'), ('which', 'WDT'), ('was', 'VBD'), ('to', 'TO'), ('fix', 'VB'), ('the', 'DT'), ('date', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('departure', 'NN'), (',', ','), ('when', 'WRB'), ('Henry', 'NNP'), ('proposed', 'VBD'), ('a', 'DT'), ('pedestrian', 'JJ'), ('tour', 'NN'), ('in', 'IN'), ('the', 'DT'), ('environs', 'NNS'), ('of', 'IN'), ('Ingolstadt', 'NNP'), (',', ','), ('that', 'IN'), ('I', 'PRP'), ('might', 'MD'), ('bid', 'VB'), ('a', 'DT'), ('personal', 'JJ'), ('farewell', 'NN'), ('to', 'TO'), ('the', 'DT'), ('country', 'NN'), ('I', 'PRP'), ('had', 'VBD'), ('so', 'RB'), ('long', 'RB'), ('inhabited', 'VBN'), ('.', '.')]"
803,10,109,37,,9,6,3,1,9,5,3,4,0,"I acceded with pleasure to this proposition:  I was fond of exercise, and Clerval had always been my favourite companion in the ramble of this nature that I had taken among the scenes of my native country.","[('I', 'PRP'), ('acceded', 'VBD'), ('with', 'IN'), ('pleasure', 'NN'), ('to', 'TO'), ('this', 'DT'), ('proposition', 'NN'), (':', ':'), ('I', 'PRP'), ('was', 'VBD'), ('fond', 'JJ'), ('of', 'IN'), ('exercise', 'NN'), (',', ','), ('and', 'CC'), ('Clerval', 'NNP'), ('had', 'VBD'), ('always', 'RB'), ('been', 'VBN'), ('my', 'PRP$'), ('favourite', 'NN'), ('companion', 'NN'), ('in', 'IN'), ('the', 'DT'), ('ramble', 'JJ'), ('of', 'IN'), ('this', 'DT'), ('nature', 'NN'), ('that', 'IN'), ('I', 'PRP'), ('had', 'VBD'), ('taken', 'VBN'), ('among', 'IN'), ('the', 'DT'), ('scenes', 'NNS'), ('of', 'IN'), ('my', 'PRP$'), ('native', 'JJ'), ('country', 'NN'), ('.', '.')]"
804,10,110,38,,10,6,4,0,7,6,5,5,0,"We passed a fortnight in these perambulations:  my health and spirits had long been restored, and they gained additional strength from the salubrious air I breathed, the natural incidents of our progress, and the conversation of my friend.","[('We', 'PRP'), ('passed', 'VBD'), ('a', 'DT'), ('fortnight', 'NN'), ('in', 'IN'), ('these', 'DT'), ('perambulations', 'NNS'), (':', ':'), ('my', 'PRP$'), ('health', 'NN'), ('and', 'CC'), ('spirits', 'NNS'), ('had', 'VBD'), ('long', 'JJ'), ('been', 'VBN'), ('restored', 'VBN'), (',', ','), ('and', 'CC'), ('they', 'PRP'), ('gained', 'VBD'), ('additional', 'JJ'), ('strength', 'NN'), ('from', 'IN'), ('the', 'DT'), ('salubrious', 'JJ'), ('air', 'NN'), ('I', 'PRP'), ('breathed', 'VBD'), (',', ','), ('the', 'DT'), ('natural', 'JJ'), ('incidents', 'NNS'), ('of', 'IN'), ('our', 'PRP$'), ('progress', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('conversation', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('friend', 'NN'), ('.', '.')]"
805,10,111,42,,11,6,4,1,10,6,6,4,0,"Study had before secluded me from the intercourse of my fellow-creatures, and rendered me unsocial; but Clerval called forth the better feelings of my heart; he again taught me to love the aspect of nature, and the cheerful faces of children.","[('Study', 'NNP'), ('had', 'VBD'), ('before', 'IN'), ('secluded', 'VBN'), ('me', 'PRP'), ('from', 'IN'), ('the', 'DT'), ('intercourse', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('fellow', 'NN'), ('-', ':'), ('creatures', 'NNS'), (',', ','), ('and', 'CC'), ('rendered', 'VBD'), ('me', 'PRP'), ('unsocial', 'JJ'), (';', ':'), ('but', 'CC'), ('Clerval', 'NNP'), ('called', 'VBD'), ('forth', 'JJ'), ('the', 'DT'), ('better', 'JJR'), ('feelings', 'NNS'), ('of', 'IN'), ('my', 'PRP$'), ('heart', 'NN'), (';', ':'), ('he', 'PRP'), ('again', 'RB'), ('taught', 'VBD'), ('me', 'PRP'), ('to', 'TO'), ('love', 'VB'), ('the', 'DT'), ('aspect', 'NN'), ('of', 'IN'), ('nature', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('cheerful', 'JJ'), ('faces', 'NNS'), ('of', 'IN'), ('children', 'NNS'), ('.', '.')]"
806,10,112,2,,1,1,0,0,0,0,1,0,0,Excellent friend!,"[('Excellent', 'NNP'), ('friend', 'VBP'), ('!', '.')]"
807,10,113,21,,2,4,1,2,5,6,2,1,0,"how sincerely you did love me, and endeavour to elevate my mind until it was on a level with your own.","[('how', 'WRB'), ('sincerely', 'RB'), ('you', 'PRP'), ('did', 'VBD'), ('love', 'VB'), ('me', 'PRP'), (',', ','), ('and', 'CC'), ('endeavour', 'PRP$'), ('to', 'TO'), ('elevate', 'VB'), ('my', 'PRP$'), ('mind', 'NN'), ('until', 'IN'), ('it', 'PRP'), ('was', 'VBD'), ('on', 'IN'), ('a', 'DT'), ('level', 'NN'), ('with', 'IN'), ('your', 'PRP$'), ('own', 'JJ'), ('.', '.')]"
808,10,114,39,,9,9,3,1,7,5,6,5,0,"A selfish pursuit had cramped and narrowed me, until your gentleness and affection warmed and opened my senses; I became the same happy creature who, a few years ago, loved and beloved by all, had no sorrow or care.","[('A', 'DT'), ('selfish', 'JJ'), ('pursuit', 'NN'), ('had', 'VBD'), ('cramped', 'VBN'), ('and', 'CC'), ('narrowed', 'VBD'), ('me', 'PRP'), (',', ','), ('until', 'IN'), ('your', 'PRP$'), ('gentleness', 'NN'), ('and', 'CC'), ('affection', 'NN'), ('warmed', 'VBD'), ('and', 'CC'), ('opened', 'VBN'), ('my', 'PRP$'), ('senses', 'NNS'), (';', ':'), ('I', 'PRP'), ('became', 'VBD'), ('the', 'DT'), ('same', 'JJ'), ('happy', 'NN'), ('creature', 'NN'), ('who', 'WP'), (',', ','), ('a', 'DT'), ('few', 'JJ'), ('years', 'NNS'), ('ago', 'RB'), (',', ','), ('loved', 'VBD'), ('and', 'CC'), ('beloved', 'VBN'), ('by', 'IN'), ('all', 'DT'), (',', ','), ('had', 'VBD'), ('no', 'DT'), ('sorrow', 'NN'), ('or', 'CC'), ('care', 'NN'), ('.', '.')]"
809,10,115,15,,3,2,3,2,2,1,2,2,0,"When happy, inanimate nature had the power of bestowing on me the most delightful sensations.","[('When', 'WRB'), ('happy', 'JJ'), (',', ','), ('inanimate', 'JJ'), ('nature', 'NN'), ('had', 'VBD'), ('the', 'DT'), ('power', 'NN'), ('of', 'IN'), ('bestowing', 'VBG'), ('on', 'IN'), ('me', 'PRP'), ('the', 'DT'), ('most', 'RBS'), ('delightful', 'JJ'), ('sensations', 'NNS'), ('.', '.')]"
810,10,116,10,,3,1,2,0,2,1,1,1,0,A serene sky and verdant fields filled me with ecstasy.,"[('A', 'DT'), ('serene', 'NN'), ('sky', 'NN'), ('and', 'CC'), ('verdant', 'JJ'), ('fields', 'NNS'), ('filled', 'VBN'), ('me', 'PRP'), ('with', 'IN'), ('ecstasy', 'JJ'), ('.', '.')]"
811,10,117,22,,8,4,0,1,5,0,3,4,0,"The present season was indeed divine; the flowers of spring bloomed in the hedges, while those of summer were already in bud.","[('The', 'DT'), ('present', 'NN'), ('season', 'NN'), ('was', 'VBD'), ('indeed', 'VBN'), ('divine', 'NN'), (';', ':'), ('the', 'DT'), ('flowers', 'NNS'), ('of', 'IN'), ('spring', 'NN'), ('bloomed', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('hedges', 'NNS'), (',', ','), ('while', 'IN'), ('those', 'DT'), ('of', 'IN'), ('summer', 'NN'), ('were', 'VBD'), ('already', 'RB'), ('in', 'IN'), ('bud', 'NN'), ('.', '.')]"
812,10,118,25,,5,6,1,0,6,4,3,2,1,"I was undisturbed by thoughts which during the preceding year had pressed upon me, notwithstanding my endeavours to throw them off, with an invincible burden.","[('I', 'PRP'), ('was', 'VBD'), ('undisturbed', 'VBN'), ('by', 'IN'), ('thoughts', 'NNS'), ('which', 'WDT'), ('during', 'IN'), ('the', 'DT'), ('preceding', 'NN'), ('year', 'NN'), ('had', 'VBD'), ('pressed', 'VBN'), ('upon', 'IN'), ('me', 'PRP'), (',', ','), ('notwithstanding', 'VBG'), ('my', 'PRP$'), ('endeavours', 'NNS'), ('to', 'TO'), ('throw', 'VB'), ('them', 'PRP'), ('off', 'IN'), (',', ','), ('with', 'IN'), ('an', 'DT'), ('invincible', 'JJ'), ('burden', 'NN'), ('.', '.')]"
813,10,119,26,,5,6,0,1,5,7,4,1,1,"Henry rejoiced in my gaiety, and sincerely sympathised in my feelings: he exerted himself to amuse me, while he expressed the sensations that filled his soul.","[('Henry', 'NNP'), ('rejoiced', 'VBD'), ('in', 'IN'), ('my', 'PRP$'), ('gaiety', 'NN'), (',', ','), ('and', 'CC'), ('sincerely', 'RB'), ('sympathised', 'VBN'), ('in', 'IN'), ('my', 'PRP$'), ('feelings', 'NNS'), (':', ':'), ('he', 'PRP'), ('exerted', 'VBD'), ('himself', 'PRP'), ('to', 'TO'), ('amuse', 'VB'), ('me', 'PRP'), (',', ','), ('while', 'IN'), ('he', 'PRP'), ('expressed', 'VBD'), ('the', 'DT'), ('sensations', 'NNS'), ('that', 'WDT'), ('filled', 'VBN'), ('his', 'PRP$'), ('soul', 'NN'), ('.', '.')]"
814,10,120,36,,12,4,2,3,9,3,5,3,0,"The resources of his mind on this occasion were truly astonishing:  his conversation was full of imagination; and very often, in imitation of the Persian and Arabic writers, he invented tales of wonderful fancy and passion.","[('The', 'DT'), ('resources', 'NNS'), ('of', 'IN'), ('his', 'PRP$'), ('mind', 'NN'), ('on', 'IN'), ('this', 'DT'), ('occasion', 'NN'), ('were', 'VBD'), ('truly', 'RB'), ('astonishing', 'VBG'), (':', ':'), ('his', 'PRP$'), ('conversation', 'NN'), ('was', 'VBD'), ('full', 'JJ'), ('of', 'IN'), ('imagination', 'NN'), (';', ':'), ('and', 'CC'), ('very', 'RB'), ('often', 'RB'), (',', ','), ('in', 'IN'), ('imitation', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Persian', 'NNP'), ('and', 'CC'), ('Arabic', 'NNP'), ('writers', 'NNS'), (',', ','), ('he', 'PRP'), ('invented', 'VBD'), ('tales', 'NNS'), ('of', 'IN'), ('wonderful', 'JJ'), ('fancy', 'NN'), ('and', 'CC'), ('passion', 'NN'), ('.', '.')]"
